article_id,infraction_desc,amende_fixe,points_retrait,categorie_vehicule,type_infraction,mots_cles,cluster,categorie_cluster
1,1 املاده ال يجوز الي شخص ان يسوق مركبه ذات محرك او مجموعه مركبات علا الطريق العموميه ما لم يكن حاصال علا رخصه للسياقه ساريه الصالحيه ومسلمه من قبل االداره، تناسب صنف .املركبه او مجموعه املركبات التي يسوقها,,,leger,definition,documents,3,regles_circulation
2,2 املاده استثناء من احكام املاده االولا اعاله يجوز للمغاربه القاطنين بالخارج ان يسوقوا، داخل التراب الوطني، خالل مده اقصاها 1 سنه واحده ابتداء من اقامتهم باملغرب، بواسطه رخصه السياقه املسلمه لهم بالخارج ساريه الصالحيه ؛ يجوز للسائقين من جنسيه اجنبيه،,,,leger,definition,documents,0,permis_conduite
3,3 املاده يجب علا السائقين الحاصلين علا رخصه سياقه مسلمه بالخارج، بعد انصرام املده املشار اليها في املاده السابقه، ان يتقدموا المتحانات الحصول علا رخصه السياقه املغربيه، او ان يطلبوا تبديل .رخصتهم للسياقه تطبيقا للفقرات املواليه يمكن للمغاربه واالجانب,,,leger,obligation,documents,2,permissions_exceptions
4,4 املاده في حاله السير الدولي ووفقا لالتفاقيه الدوليه للسير علا الطرق، تسلم الهيئات املؤهله لذلك من .قبل االداره، رخصه دوليه للسياقه موضوعه في دفتر خاص يجوز للسائقين من جنسيه اجنبيه، الحاصلين علا رخصه دوليه للسياقه، السياقه علا التراب 2 من املاده2 ال,,,leger,definition,"depassement, documents",0,permis_conduite
5,5 املاده استثناء من احكام املاده االولا اعاله، يجوز للسائقين العس,,,leger,definition,"alcool, documents",0,permis_conduite
6,6 املاده ال يجوز الي كان سياقه مركبه فالحيه ذات محرك او مركبه غابويه ذات محرك او اريبه لالشغال العموميه او اريبه خاصه ذات محرك، علا الطريق العموميه، مالم يكن حاصال علا رخصه للسياقه .مسلمه طبقا للماده االولا اعاله الباب الثاني اصناف رخصه السياقه,,,leger,definition,documents,3,regles_circulation
7,7 املاده .يحدد صنف رخصه السياقه حسب صنف او اصناف املركبه التي يمك,,,leger,definition,"depassement, documents",0,permis_conduite
8,8 املاده ال يسمح كل صنف من اصناف رخصه السياقه اال بسياقه صنف املر,,,leger,definition,documents,0,permis_conduite
9,9 املاده يجب االدالء برخصه السياقه او بالوثيقه التي تحل محلها الا االعوان املكلفين بمراقبه تطبيق .احكام هذا القانون والنصوص الصادره لتطبيقه، كلما طلبوا ذلك 6 االمانه العامه للحكومه الباب الثالث شروط الحصول علا رخصه السياقه 1 الفرع احكام عامه,,,leger,obligation,documents,0,permis_conduite
10,10 املاده تسلم رخصه السياقه الا املترشح بعد اجتيازه بنجاح الختبار,,,leger,definition,documents,0,permis_conduite
11,11 املاده ،ال يجوز الي كان ان يتقدم الجتياز امتحان الحصول علا رخص,,,leger,definition,documents,0,permis_conduite
12,12 املاده ،يخضع وجوبا كل مترشح الختبارات امتحان الحصول علا رخصه السياقه لفحص طبي مسبق الغايه منه التاكد من ان قدراته البدنيه والعقليه تمكنه من سياقه مركبه علا الطريق العموميه دون خطر وخاصه التاكد من انه غير مصاب باحد االمراض التي تمنع السياقه واملحدد,,,leger,definition,documents,3,regles_circulation
13,13 املاده اذا كان املترشح الختبارات امتحان الحصول علا رخصه السياقه مصابا بعجز بدني ال يتنافا مع سياقه املركبات ذات محرك، امكن تعويض هذا العجز بتهيئه خاصه للمركبه او بواسطه حمل .وباستعمال اجهزه طبيه او هما معا، من قبل السائق تبعا لتعليمات الطبيب الذي,,,leger,obligation,documents,3,regles_circulation
14,14 املاده بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 نسخت وعوضت مبوجب املاده الثانيه من القانون رقم 5879 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ، ج.ر عدد2016 يوليو18 1437 من شوال13 .يجب علا كل شخص حاصل علا رخصه السياقه الخضوع لفحص طبي,,,leger,obligation,"depassement, documents",5,references_legales
14,14 املاده الخامسه من القانون رقم 2016 يوليو18 1437 من شوال13 بتاريخ1.16.106 رقم 5885 ، ص2016 اغسطس11 1437 ذي القعده7 بتاريخ6490 ج.ر عدد املتعلقه بمدونه السير علا الطرق، كما تم تغييرها52.05 من القانون رقم7 تدخل احكام املاده بموجب هذا القانون، حيز التن,,,leger,definition,documents,5,references_legales
