doc_id,attack_description,description_style,attack_family,attack_type,protocol,source_zone,destination_zone,source_port,destination_port,service,payload_pattern,log_excerpt,expected_snort_rule,rule_explanation,severity,false_positive_risk,mitre_technique,keywords,synthetic_generation_method,needs_retrieval
SNORT_0001,Rule for tcp syn port scan on the network.,short,Reconnaissance,TCP SYN Port Scan,tcp,$EXTERNAL_NET,$HOME_NET,any,80,HTTP,many connection attempts,src=203.0.113.67 dst=10.0.1.37 proto=TCP dpt=80 flags=S count=34 window=1024,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""Possible TCP SYN scan against HTTP""; flags:S; detection_filter:track by_src, count 20, seconds 10; classtype:network-scan; sid:1000001; rev:1;)","This Snort rule is designed for TCP SYN Port Scan in the Reconnaissance family. It monitors TCP traffic on destination port 80 (HTTP) and uses indicators such as many connection attempts. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",medium,medium,T1046 Network Service Discovery,"scan, syn, port, reconnaissance, nmap",manual template + controlled random variations,True
SNORT_0002,"As a security analyst, I want to detect this behavior: Identify reconnaissance based on repeated ICMP echo traffic.",analyst_request,Reconnaissance,ICMP Ping Sweep,icmp,$EXTERNAL_NET,$HOME_NET,any,any,generic network,icmp echo,src=203.0.113.161 dst=10.0.110.0/24 proto=ICMP type=8 count=52,"alert icmp $EXTERNAL_NET any -> $HOME_NET any (msg:""Possible ICMP ping sweep""; itype:8; detection_filter:track by_src, count 30, seconds 20; classtype:network-scan; sid:1000002; rev:1;)","This Snort rule is designed for ICMP Ping Sweep in the Reconnaissance family. It monitors ICMP traffic on destination port any (generic network) and uses indicators such as icmp echo. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",low,medium,T1018 Remote System Discovery,"icmp, ping, sweep, reconnaissance, echo",manual template + controlled random variations,True
SNORT_0003,Need IDS detection logic for TCP SYN Flood: Detect a TCP SYN flood targeting the HTTP service on port 80. Include protocol and threshold constraints.,technical,DoS_DDoS,TCP SYN Flood,tcp,$EXTERNAL_NET,$HOME_NET,any,80,HTTP,flags:S,src=multiple dst=10.0.1.156 proto=TCP dpt=80 flags=S count=900 in=5s,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""Possible TCP SYN flood against HTTP""; flags:S; detection_filter:track by_dst, count 200, seconds 5; classtype:attempted-dos; sid:1000003; rev:1;)","This Snort rule is designed for TCP SYN Flood in the DoS_DDoS family. It monitors TCP traffic on destination port 80 (HTTP) and uses indicators such as flags:S. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,medium,T1498 Network Denial of Service,"syn flood, dos, ddos, tcp, web",manual template + controlled random variations,True
SNORT_0004,"As a security analyst, I want to detect this behavior: Identify possible UDP denial-of-service traffic on port 123.",analyst_request,DoS_DDoS,UDP Flood,udp,$EXTERNAL_NET,$HOME_NET,any,123,NTP,many sources,Collector: UDP packets to 10.0.4.116:123 exceed baseline by 800%,"alert udp $EXTERNAL_NET any -> $HOME_NET 123 (msg:""Possible UDP flood on NTP""; detection_filter:track by_dst, count 300, seconds 10; classtype:attempted-dos; sid:1000004; rev:1;)","This Snort rule is designed for UDP Flood in the DoS_DDoS family. It monitors UDP traffic on destination port 123 (NTP) and uses indicators such as many sources. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,medium,T1498 Network Denial of Service,"udp, flood, dos, amplification",manual template + controlled random variations,True
SNORT_0005,Need IDS detection logic for SQL Injection: Detect SQL injection attempts using UNION SELECT in HTTP URI. Include protocol and threshold constraints.,technical,Web_Attack,SQL Injection,tcp,$EXTERNAL_NET,$HOME_NET,any,443,HTTPS,' OR '1'='1,HTTP URI contains /login.php?user=admin' OR '1'='1 from 203.0.113.97,"alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""Possible SQL injection UNION SELECT attempt""; flow:to_server,established; content:""UNION""; nocase; http_uri; content:""SELECT""; nocase; http_uri; classtype:web-application-attack; sid:1000005; rev:1;)","This Snort rule is designed for SQL Injection in the Web_Attack family. It monitors TCP traffic on destination port 443 (HTTPS) and uses indicators such as ' OR '1'='1. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,low,T1190 Exploit Public-Facing Application,"sql injection, sqli, union, select, web",manual template + controlled random variations,True
SNORT_0006,Create a rule for HTTP URI containing encoded or clear script payloads.,formal,Web_Attack,Cross Site Scripting,tcp,$EXTERNAL_NET,$HOME_NET,any,80,HTTP,javascript:,GET /search?q=<script>alert(1)</script> HTTP/1.1 host=portal.local,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""Possible reflected XSS script tag""; flow:to_server,established; content:""<script""; nocase; http_uri; classtype:web-application-attack; sid:1000006; rev:1;)","This Snort rule is designed for Cross Site Scripting in the Web_Attack family. It monitors TCP traffic on destination port 80 (HTTP) and uses indicators such as javascript:. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",medium,medium,T1189 Drive-by Compromise,"xss, script, javascript, web",manual template + controlled random variations,True
SNORT_0007,Rule for directory traversal on the network.,short,Web_Attack,Directory Traversal,tcp,$EXTERNAL_NET,$HOME_NET,any,443,HTTPS,/etc/passwd,GET /download?file=../../../../etc/passwd HTTP/1.1 host=app.local,"alert tcp $EXTERNAL_NET any -> $HOME_NET 443 (msg:""Possible directory traversal attempt""; flow:to_server,established; content:""../""; http_uri; classtype:web-application-attack; sid:1000007; rev:1;)","This Snort rule is designed for Directory Traversal in the Web_Attack family. It monitors TCP traffic on destination port 443 (HTTPS) and uses indicators such as /etc/passwd. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,low,T1190 Exploit Public-Facing Application,"directory traversal, path traversal, etc passwd, web",manual template + controlled random variations,True
SNORT_0008,Create a Snort rule for web requests containing whoami or id after command separators.,formal,Web_Attack,Command Injection,tcp,$EXTERNAL_NET,$HOME_NET,any,80,HTTP,&& id,POST /tools/check body=ip=8.8.8.8|id from 203.0.113.222,"alert tcp $EXTERNAL_NET any -> $HOME_NET 80 (msg:""Possible HTTP command injection""; flow:to_server,established; pcre:""/(;|\||&&)(whoami|id|cat)/Ui""; classtype:web-application-attack; sid:1000008; rev:1;)","This Snort rule is designed for Command Injection in the Web_Attack family. It monitors TCP traffic on destination port 80 (HTTP) and uses indicators such as && id. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",critical,medium,T1059 Command and Scripting Interpreter,"command injection, whoami, cat, shell, web",manual template + controlled random variations,True
SNORT_0009,Need IDS detection logic for SSH Brute Force: Identify suspicious SSH authentication activity on port 22. Include protocol and threshold constraints.,technical,Brute_Force,SSH Brute Force,tcp,$EXTERNAL_NET,$HOME_NET,any,22,SSH,many failed ssh logins,sshd: Failed password for invalid user admin from 203.0.113.21 port 51422 repeated=18,"alert tcp $EXTERNAL_NET any -> $HOME_NET 22 (msg:""Possible SSH brute force attempts""; flow:to_server,established; detection_filter:track by_src, count 15, seconds 60; classtype:attempted-recon; sid:1000009; rev:1;)","This Snort rule is designed for SSH Brute Force in the Brute_Force family. It monitors TCP traffic on destination port 22 (SSH) and uses indicators such as many failed ssh logins. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",high,medium,T1110 Brute Force,"ssh, brute force, login, authentication",manual template + controlled random variations,True
SNORT_0010,Need IDS detection logic for FTP Brute Force: Detect repeated FTP USER commands that may indicate brute force. Include protocol and threshold constraints.,technical,Brute_Force,FTP Brute Force,tcp,$EXTERNAL_NET,$HOME_NET,any,21,FTP,PASS,ftp auth failed user=admin src=203.0.113.107 dst=10.0.5.73 attempts=31,"alert tcp $EXTERNAL_NET any -> $HOME_NET 21 (msg:""Possible FTP brute force USER attempts""; flow:to_server,established; content:""USER""; nocase; detection_filter:track by_src, count 20, seconds 60; classtype:attempted-recon; sid:1000010; rev:1;)","This Snort rule is designed for FTP Brute Force in the Brute_Force family. It monitors TCP traffic on destination port 21 (FTP) and uses indicators such as PASS. The detection options help reduce false positives by using flow, content, flags, or threshold constraints when applicable.",medium,medium,T1110 Brute Force,"ftp, brute force, user, pass",manual template + controlled random variations,True
